X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,lat,long
24887.9358,32483.8704,11221,B07,LIEN TWRS,1.241351822,103.8736073
28675.6054,30926.4778,13091,B08,AFT AA CTR,1.275606357,103.859614
38846.0067,38164.4763,75291,B05,AFT TAMPINES AVE 9,1.367582258,103.9246534
13291.1103,36961.7814,27449,B09,AFT WESTWOOD AVE,1.136473305,103.9138393
31085.8992,38467.4729,66211,B03,OPP BLOXHOME DR,1.297402585,103.9273734
14979.9636,34900.4545,21531,B02,CLARIANT S'PORE,1.151747168,103.8953188
39673.34945,40159.97164,77221,B01,BLK 651,1.375063683,103.9425847
34157.8125,40188.6664,64449,B03,OPP HOUGANG G. SHOP MALL,1.325183208,103.9428403
30124.60045,38439.29123,54321,B03,BLK 354,1.288708958,103.9271199
32265.99931,39747.923,66511,B02,,1.30807452,103.9388792
26168.1666,42696.1613,57149,B01,AFT UPP THOMSON RD,1.252926744,103.9653677
4473.292199,30681.5652,26379,NIL,YONG NAM,1.056728978,103.8574116
26457.4678,35537.1139,41159,B08,AFT LORNIE WALK,1.255545549,103.9010418
20611.4358,36505.781,42191,B09,BEF BT BATOK EAST AVE 6,1.20267587,103.909744
23847.3888,46401.6985,46689,B06,OPP BLK 899A,1.231936623,103.9986616
33553.566,40121.2744,66499,B04,BLK 911,1.319718653,103.9422345
38220.3377,33958.9156,84021,B03,BLK 32,1.36192508,103.8868634
37070.6093,32132.434,92071,B07,OPP BLK 57,1.351527659,103.8704511
41277.2327,33338.1144,94009,NIL,UPP EAST COAST TER,1.389570654,103.8812857
30749.0316,35766.3652,52389,B06,BLK 227,1.294356866,103.9031027
20589.042,39246.8178,43121,B04,AFT CASHEW TERR,1.202472543,103.9343725
14059.3441,36134.7466,21369,B03,OPP BLK 695,1.143421142,103.9064087
21723.1602,30177.2815,16041,B23,OPP THE LONGHOUSE,1.212730927,103.8528818
41055.52649,37091.39793,76179,B03,OPP BLK 266,1.387564694,103.9150118
20337.8305,35496.7665,42299,B02,AFT TOH TUCK CRES,1.20020172,103.9006778
