school_name,school_category,school_type,school_nature,school_area,school_address,school_postal_code,lat,long
Chung Cheng High School (Main),secondary_school,Government-Aided School,Co-Ed School,Marine Parade,50 Goodman Road,439012,1.3050915480001,103.891653229
Chung Cheng High School (Yishun),secondary_school,Government-Aided School,Co-Ed School,Yishun,11 Yishun Street 61,768547,1.419226036,103.837390783
Clementi Town Secondary School,secondary_school,Government School,Co-Ed School,Clementi,10 Clementi Ave 3,129904,1.3155391290001,103.762020599
Commonwealth Secondary School,secondary_school,Government School,Co-Ed School,Jurong East,698 West Coast Road,608784,1.319203959,103.745637393
Compassvale Secondary School,secondary_school,Government School,Co-Ed School,Sengkang,51 Compassvale Crescent,545083,1.39614084,103.899847164
Crescent Girls&#8217; School,secondary_school,Government School,Girls' School,Bukit Merah,357 Tanglin Road,247961,1.29331947,103.817544461
Crest Secondary School,secondary_school,Specialised School,Co-Ed School,Jurong East,561 Jurong East Street 24,609561,1.3431198050001,103.742628105
Damai Secondary School,secondary_school,Government School,Co-Ed School,Bedok,4800 Bedok Reservoir Road,479229,1.336927985,103.927091653
Deyi Secondary School,secondary_school,Government School,Co-Ed School,Ang Mo Kio,1 Ang Mo Kio Street 42,569277,1.3659970250001,103.852545771
Dunearn Secondary School,secondary_school,Government School,Co-Ed School,Bukit Batok,21 Bukit Batok West Avenue 2,659204,1.363579008,103.744721091
Dunman High School (Secondary),secondary_school,Government School,Co-Ed School,Kallang,10 Tanjong Rhu Road,436895,1.299961903,103.88294156
Dunman Secondary School,secondary_school,Government School,Co-Ed School,Tampines,21 Tampines Street 45,529093,1.3606525860001,103.956213321
East Spring Secondary School,secondary_school,Government School,Co-Ed School,Tampines,30 Tampines Street 34,529231,1.3562250900001,103.9606407
Edgefield Secondary School,secondary_school,Government School,Co-Ed School,Punggol,36 Punggol Field,828814,1.4005931,103.902687385
Evergreen Secondary School,secondary_school,Government School,Co-Ed School,Woodlands,11 Woodlands Street 83,738489,1.441491313,103.794137756
Fairfield Methodist School (Secondary),secondary_school,Government-Aided School,Co-Ed School,Queenstown,102 Dover Road,139649,1.3016337440001,103.784099647
Fajar Secondary School,secondary_school,Government School,Co-Ed School,Bukit Panjang,31 Gangsa Road,678972,1.3756000540001,103.763998914
Fuchun Secondary School,secondary_school,Government School,Co-Ed School,Woodlands,21 Woodlands Avenue 1,739062,1.430704529,103.777625749
Fuhua Secondary School,secondary_school,Government School,Co-Ed School,Jurong West,5 Jurong West Street 41,649410,1.347014089,103.726520898
Gan Eng Seng School,secondary_school,Government School,Co-Ed School,Bukit Merah,1 Henderson Road,159561,1.289071145,103.823733673
Geylang Methodist School (Secondary),secondary_school,Government-Aided School,Co-Ed School,Geylang,2 Geylang East Central,389705,1.3176708340001,103.882673394
Greendale Secondary School,secondary_school,Government School,Co-Ed School,Punggol,51 Edgedale Plains,828866,1.396960199,103.911700141
Greenridge Secondary School,secondary_school,Government School,Co-Ed School,Bukit Panjang,32 Bukit Panjang Ring Road,679938,1.381864337,103.773828467
Guangyang Secondary School,secondary_school,Government School,Co-Ed School,Bishan,8 Bishan Street 12,579807,1.34440856,103.850208934
Hai Sing Catholic School,secondary_school,Government-Aided School,Co-Ed School,Pasir Ris,9 Pasir Ris Drive 6,519421,1.374346412,103.954957944
Hillgrove Secondary School,secondary_school,Government School,Co-Ed School,Bukit Batok,10 Bukit Batok Street 52,659250,1.352735766,103.752986488
Holy Innocents&#8217; High School,secondary_school,Government-Aided School,Co-Ed School,Hougang,1191 Upper Serangoon Road,534786,1.3715450880001,103.896398814
