school_name,school_category,school_type,school_nature,school_area,school_address,school_postal_code,lat,long
Woodlands Primary School,primary_school,Government School,Co-Ed School,Woodlands,10 Woodlands Drive 50,738853,1.43655108594233,103.791570546509
Woodlands Ring Primary School,primary_school,Government School,Co-Ed School,Woodlands,11 Woodlands Ring Road,738240,1.4349522931586,103.797435733144
Xinghua Primary School,primary_school,Government School,Co-Ed School,Hougang,45 Hougang Avenue 1,538882,1.35790893608186,103.890465047334
Xingnan Primary School,primary_school,Government School,Co-Ed School,Jurong West,5 Jurong West Street 91,649036,1.34254744877696,103.687950252103
Xinmin Primary School,primary_school,Government School,Co-Ed School,Hougang,9 Hougang Avenue 8,538784,1.37139548941933,103.883080767491
Xishan Primary School,primary_school,Government School,Co-Ed School,Yishun,8 Yishun Street 21,768611,1.43347186925066,103.837755319448
Yangzheng Primary School,primary_school,Government School,Co-Ed School,Serangoon,15 Serangoon Avenue 3,556108,1.3489737533151,103.868349549195
Yew Tee Primary School,primary_school,Government School,Co-Ed School,Choa Chu Kang,10 Choa Chu Kang St 64,689100,1.39676600905038,103.750985967346
Yio Chu Kang Primary School,primary_school,Government School,Co-Ed School,Hougang,1 Hougang Street 51,538720,1.37793264345278,103.885643682171
Yishun Primary School,primary_school,Government School,Co-Ed School,Yishun,500 Yishun Ring Road,768679,1.43338602948303,103.834087115915
Yu Neng Primary School,primary_school,Government School,Co-Ed School,Bedok,56 Bedok North St 3,469623,1.33388900977814,103.932150334643
Yuhua Primary School,primary_school,Government School,Co-Ed School,Jurong East,158 Jurong East Street 24,609558,1.34280230475035,103.741105772644
Yumin Primary School,primary_school,Government School,Co-Ed School,Tampines,3 Tampines Street 21,529393,1.35129177656982,103.950461927088
Zhangde Primary School,primary_school,Government School,Co-Ed School,Bukit Merah,51 Jalan Membina,169485,1.28421153335382,103.825951875662
Zhenghua Primary School,primary_school,Government School,Co-Ed School,Bukit Panjang,9 Fajar Road,679002,1.37954887512233,103.769313521752
Zhonghua Primary School,primary_school,Government School,Co-Ed School,Serangoon,12 Serangoon Avenue 4,556095,1.3602032970505,103.869762438084
