lat,long,Centre Name,Address,Postal Code
1.376256224,103.9344739,BRIGHT KIDS @ PASIR RIS PTE LTD,"764, PASIR RIS STREET 71, #01 - 246, S 510764",510764
1.399770915,103.9095143,BRIGHT KIDS SCHOOL HOUSE PTE LTD,"192, PUNGGOL CENTRAL, #01 - 311, S 820192",820192
1.396007984,103.9107647,BRIGHT KIDS SCHOOL HOUSE PTE LTD,"173D, PUNGGOL FIELD, #01 - 635, S 824173",824173
1.398470588,103.9077693,BRIGHT KIDS SCHOOL HOUSE PTE LTD,"175D, PUNGGOL FIELD, #01 - 531, S 824175",824175
1.342601533,103.7966932,BRIGHT PATH INCLUSIVE PRESCHOOL,"55, FAIRWAYS DRIVE, S 286846",286846
1.430448572,103.7727741,BRIGHT SPARKS CHILDCARE LLP,"401, WOODLANDS STREET 41, #01 - 30, S 730401",730401
1.294146308,103.826988,BRIGHTON MONTESSORI CENTRES PTE LTD,"456, RIVER VALLEY ROAD, #01 - 01, CRYSTAL COURT, S 248342",248342
1.380708472,103.8464996,BRIGHTON MONTESSORI CENTRES PTE. LTD.,"190, ANG MO KIO AVENUE 8, #02 - 01, S 568046",568046
1.29998442,103.8925193,BRIGHTON MONTESSORI CENTRES PTE. LTD.,"764, MOUNTBATTEN ROAD, S 437764",437764
1.313563509,103.9198913,BRIGHTON MONTESSORI INTERNATIONAL PRE-SCHOOL @ FRANKEL,"125, FRANKEL AVENUE, S 458235",458235
1.323250397,103.7672601,BRIGHTON MONTESSORI INTERNATIONAL PRE-SCHOOL @ SUNSET,"41, SUNSET WAY, #02 - 01/02, CLEMENTI ARCADE, S 597071",597071
1.332748477,103.9026164,BRIGHTYEARS CHILDCARE CENTRE PTE LTD,"1, KAKI BUKIT ROAD 1, #01 - 32, ENTERPRISE ONE, S 415934",415934
1.352630327,103.749284,BRILLIANT KIDS LEARNING COVE,"91, BUKIT BATOK WEST AVENUE 2, #02 - 02, CLUB CSC @ BUKIT BATOK, S 659206",659206
1.328850889,103.8691847,BRILLIANT TOTS @ HOUGANG PTE. LTD,"2, TAI THONG CRESCENT, #01 - 08, THE VENUE SHOPPES, S 347836",347836
1.345607191,103.8826951,Brilliant Tots @ Kensington,"2 Jalan Lokam, #01-37, Kensington Square, S 537846",537846
1.347364238,103.8767704,BRILLIANT TOTS ACADEMY PTE. LTD.,"26, SERANGOON AVENUE 1, S 556141",556141
1.383440727,103.8754897,BRILLIANT TOTS INFANT AND CHILDCARE,"28, JALAN KELULUT, SELETAR HILLS ESTATE, S 809045",809045
1.343785582,103.7747757,Brilliant Tots Junior Pte Ltd,"24,CHEONG CHIN NAM ROAD,ANGSANA HOUSE,  SINGAPORE 599747",599747
1.381517272,103.8414281,BRILLIANT TOTS PRESCHOOL PTE LTD,"50, ANG MO KIO STREET 61, #03 - 01, YIO CHU KANG COMMUNITY CENTRE, S 569163",569163
1.425366369,103.8240917,CHERIE HEARTS NURTURE COTTAGE PTE. LTD.,"19, JALAN MATA AYER, SEMBAWANG PARK, S 759100",759100
1.358978378,103.8338913,CHERIE HEARTS NURTURELOFT PTE. LTD.,"18, SIN MING LANE, #01 - 02, MIDVIEW CITY, S 573960",573960
1.264486338,103.8186869,CHERIE HEARTS PRESCHOOL & EARLY DEVELOPMENT CENTRE PTE. LTD.,"3, HARBOURFRONT PLACE, #02 - 01/04, HARBOURFRONT TOWER TWO, S 099254",99254
1.324276357,103.8732229,CHERIE HEARTS PRESCHOOL PTE. LTD.,"8, KALLANG SECTOR, #02 - 00, S 349282",349282
1.427337349,103.8262951,CHERRY KIDZ MONTESSORI CHILDCARE LLP,"405, SEMBAWANG ROAD, PLATINA GARDENS, S 758385",758385
1.31406791,103.9285694,CHERRYBROOK PRESCHOOL EAST COAST PTE. LTD.,"6, JALAN ULU SIGLAP, S 457127",457127
1.31811007,103.8067873,CHERRYBROOK PRESCHOOL FARRER,"82, QUEEN'S ROAD, S 266774",266774
1.353696691,103.8293151,CHERRYBROOK PRESCHOOL THOMSON PTE. LTD.,"14A, MARIGOLD DRIVE, ADELPHI PARK ESTATE, S 576416",576416
1.318815188,103.7681537,CHESTON MONTESSORI PRESCHOOLS PTE LTD,"220, CLEMENTI AVENUE 4, #03 - 01, CLEMENTI COMMUNITY CENTRE, S 129880",129880
1.370650093,103.8394103,CHILD AT STREET 11 LTD,"102, ANG MO KIO AVE 3, #01 - 1429, S 560102",560102
1.338418061,103.6937689,CHILDCARE @ THE ENRICHMENT PTE LTD,"20, JURONG WEST STREET 93, #01 - 01, JURONG WEST SPORTS & RECREATION CTR, S 648965",648965
1.307465183,103.8812708,CHILDFIRST,"229, MOUNTBATTEN ROAD, #01 - 32, MOUNTBATTEN SQUARE, S 398007",398007
1.336675729,103.7837092,CHILDFIRST@DUNEARN PTE. LTD.,"896, DUNEARN ROAD, #04 - 02, SIME DARBY CENTRE, S 589472",589472
1.35264348,103.9428946,CHILDFIRST@TAMPINES PTE. LTD.,"3, TAMPINES CENTRAL 1, #05 - 01, ABACUS PLAZA, S 529540",529540
1.32389257,103.8482512,Children’s Cove Preschool Pte Ltd,"11 Akyab Road, S , S309975",309975
1.299332862,103.8071661,CHILDREN'S COVE PRESCHOOL PTE.LTD.,"58, JALAN PENJARA, S 149382",149382
1.312838611,103.8260319,CHILDREN'S COVE PTE. LTD.,"30, ORANGE GROVE ROAD, #08 - 01, RELC BUILDING, S 258352",258352
1.348843359,103.8409075,CHILDREN'S VINEYARD PRESCHOOL PTE. LTD,"37, JALAN PEMIMPIN, #01 - 03, MAPEX, S 577177",577177
1.332929694,103.8941077,CHILD'S ATELIER PTE. LTD.,"33, UBI AVENUE 3, #01 - 43/44, VERTEX, S 408868",408868
1.435023653,103.8047605,CHILDTIME CARE & DEVELOPMENT CENTRE PTE.LTD.,"21, WOODLANDS CLOSE , #01 - 01, PRIMZ BIZHUB , S 737854",737854
1.333150181,103.8390497,CHILTERN HOUSE,"510, THOMSON ROAD, #04 - 01A/02, SLF BUILDING, S 298135",298135
1.308027393,103.880481,CHILTERN HOUSE EAST COAST,"231 Mountbatten Road, #02 - 01, Blk C, S 397999",397999
1.306195795,103.828509,CHILTERN HOUSE FORUM,"583, ORCHARD ROAD, #04 - 01, FORUM GALLERIA, S 238884",238884
1.308027393,103.880481,CHILTERN HOUSE MOUNTBATTEN,"231, MOUNTBATTEN ROAD, #01 - 00, S 397999",397999
1.334635845,103.7937054,CHILTERN HOUSE TURF CLUB,"232, TURF CLUB ROAD, S 287982",287982
1.347443845,103.7465021,CHINESE CHRISTIAN MISSION LIMITED,"108, BUKIT BATOK WEST AVE 6, #01 - 54, S 650108",650108
1.393605016,103.7447926,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542 LTD.,"542, CHOA CHU KANG STREET 52, #01 - 66, S 680542",680542
1.378410336,103.7572506,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.,"151, JALAN TECK WHYE, #01 - 29, S 680151",680151
1.401352424,103.9101038,CI AI EDUCATION INCUBATOR,"621B, EDGEFIELD WALK, #01 - 51, S 822621",822621
1.281821462,103.8473976,CITIKIDS ACADEMY PTE LTD,"105, Amoy Street, S 069925",69925
1.384528393,103.7724317,CITIKIDS EDVENTURE PTE. LTD.,"450, BUKIT PANJANG RING ROAD, #01 - 595, S 670450",670450
1.374239511,103.8394892,CM CENTRAL PTE LTD,"161, ANG MO KIO AVE 4, #01 - 502, S 560161",560161
1.328804626,103.7458829,CREATIVE O PRESCHOOLERS' BAY,"31, INTERNATIONAL BUSINESS PARK, #02 - 01, CREATIVE RESOURCE, S 609921",609921
1.341178393,103.7721164,CREATIVE THINKERS PRESCHOOL PTE. LTD.,"110, JALAN JURONG KECHIL, #01 - 03, S 598606",598606
1.441989572,103.7993937,CREATIVELAND CHILDCARE AND DEVELOPMENT CENTRE@ADMIRALTY PTE LTD,"715, WOODLANDS DRIVE 70, #01 - 144, S 730715",730715
1.404091148,103.7481462,CREATIVELAND CHILDCARE AND DEVELOPMENT CENTRE@CRESCENT PTE LTD,"686D, CHOA CHU KANG CRESCENT, #01 - 260, S 684686",684686
1.396610166,103.7497286,CREATIVELAND CHILDCARE AND DEVELOPMENT CENTRE@YEW TEE PTE LTD,"634, CHOA CHU KANG NORTH 6, #01 - 289, S 680634",680634
1.429077113,103.7922559,CUDDLE KIDS PLAYHOUSE PTE. LTD.,"539, WOODLANDS DRIVE 16, #01 - 117, S 730539",730539
1.279256086,103.8484117,DA LITTLE PRESCHOOL AT CECIL PRIVATE LIMITED,"141, CECIL STREET, #01 - 01, TUNG ANN ASSOCIATION BUILDING, S 069541",69541
1.414949726,103.8988205,DAYSPRING CHILD CARE CENTRE LLP,"11, NORTHSHORE DRIVE, #01 - J, S 828670",828670
1.306494411,103.7942168,DAYSTAR CHILD DEVELOPMENT CENTRE,"8, HOLLAND AVENUE, #01 - 32, S 271008",271008
1.33542562,103.6969347,DAYSTAR CHILD DEVELOPMENT CENTRE,"653C, JURONG WEST STREET 61, #01 - 460, S 643653",643653
1.34203351,103.8506489,DEERLAND PRE-SCHOOL,"199, TOA PAYOH NORTH, #01 - 1019, TOA PAYOH SPRING, S 310199",310199
